crossdock_arm,ligand_state,receptor_state,crossdock_id,selection_index,molecule_id,source_run,source_step,ligand_prep_mode,prepared_variant_count,docked_pose_count,pose,title,smiles,i_epik_Tot_Q,i_epik_Tot_abs_Q,i_i_glide_confnum,i_i_glide_lignum,i_i_glide_posenum,i_i_glide_rotatable_bonds,i_lp_mmshare_version,i_m_source_file_index,i_f3d_flags,b_lp_Chiralities_Consistent,r_epik_Charging_Adjusted_Penalty,r_epik_Ionization_Penalty,r_epik_Ionization_Penalty_Charging,r_epik_Ionization_Penalty_Neutral,r_epik_State_Penalty,r_i_docking_score,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_erotb,r_i_glide_esite,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_hbond,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa,r_i_glide_lipo,r_i_glide_metal,r_i_glide_rewards,r_lp_Energy,s_epik_cmdline,s_epik_input,s_i_glide_gridfile,s_lp_Force_Field,s_lp_Variant,s_m_source_file,r_lp_tautomer_probability,s_epik_Chemistry_Notes
L_PPS_to_R_PR,PPS,PR,L_PPS_to_R_PR__354_49-1,1,354_49-1,PPS,354,off,1,1,1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/354/354_49.smi:1,O=C1CN(C(=O)CNC(=O)c2c[nH]c(C(=O)NCc3ccc(C[N@H+]4CC[C@H](CNC(=O)c5ccc(C(F)(F)F)[nH]5)CC4)cc3)c2)CCN1,1,1,140,1,306,16,66139,1,0,1,0.0108056,0.00560738,0.00540282,0.000204555,0.00540282,-8.13662,-9.69068,0.00540282,20.1399,-86.0676,-63.7221,0.499428,-0.132425,-54.0314,-8.14202,-0.473548,-0.169513,-1.67035,-0.616051,-2.13946,0,-1.74084,46.9643,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,Tz1DMVtDSDJdTihbQ0gyXVtDSDJdW05IXTEpQyg9TylbQ0gyXVtOSF1DKD1PKWMyW2NIXVtuSF1jKFtjSF0yKUMoPU8pW05IXVtDSDJdYzNbY0hdW2NIXWMoW2NIXVtjSF0zKVtDSDJdTjRbQ0gyXVtDSDJdW0NIXShbQ0gyXVtDSDJdNClbQ0gyXVtOSF1DKD1PKWM1W2NIXVtjSF1jKEMoRikoRilGKVtuSF01,PR_Auto_Grid,S-OPLS,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/354/354_49.smi:1-1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/354/354_49.smi,,
L_PPS_to_R_PR,PPS,PR,L_PPS_to_R_PR__301_44-1,2,301_44-1,PPS,301,off,1,1,1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/301/301_44.smi:1,NC(=O)c1cccc(C(=O)N[C@H]2Cc3n[nH]c(C(=O)NCc4ccc(C[NH+]5CCN(C(=O)c6cccc(C(F)(F)F)c6)CC5)cc4)c3C2)c1,1,1,121,1,397,13,66139,1,0,1,0.83331,0.211317,0.211315,1.64638e-06,0.621995,-6.89172,-12.1911,0.621995,12.8736,-88.8132,-64.6975,0.351843,-0.193035,-52.5064,-7.51372,-0.745255,-0.140647,-1.40883,-0.514672,-2.12078,0,-0.352513,68.3862,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMxW2NIXVtjSF1bY0hdYyhbY0hdMSlDKD1PKVtOSF1bQ0BASF0oW0NIMl0yKVtDSDJdYyhjMjMpYyhbbkhdbjMpQyg9TylbTkhdW0NIMl1jNFtjSF1bY0hdYyhbY0hdW2NIXTQpW0NIMl1ONVtDSDJdW0NIMl1OKFtDSDJdW0NIMl01KUMoPU8pYzZbY0hdW2NIXVtjSF1jKEMoRikoRilGKVtjSF02,PR_Auto_Grid,S-OPLS,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/301/301_44.smi:1-1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/301/301_44.smi,0.5,
L_PPS_to_R_PR,PPS,PR,L_PPS_to_R_PR__244_14-6,3,244_14-6,PPS,244,off,1,1,1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/244/244_14.smi:1,NC(=O)c1ccc2c(c1)CC[N@H+](Cc1ccc(C[N@H+]3CC[C@H](CNC(=O)CNC(=O)CNc4cc5ccccc5[nH]4)C3)cc1)C2,2,2,147,1,151,14,66139,1,0,1,0.140697,0.0763308,0.0763175,1.33037e-05,0.0643791,-9.67572,-19.6397,0.0643791,21.778,-108.909,-76.3164,0.55505,-0.211369,-56.6767,-9.74009,-0.608,-0.215016,-2.01298,-0.764789,-3.57694,0,-0.119048,53.0046,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMoW2NIXVtjSF0xKVtjSF1jKGMxMilbQ0gyXVtDSDJdTihbQ0gyXTIpW0NIMl1jM1tjSF1bY0hdYyhbY0hdW2NIXTMpW0NIMl1ONFtDSDJdW0NIMl1bQ0BIXShbQ0gyXTQpW0NIMl1bTkhdQyg9TylbQ0gyXVtOSF1DKD1PKVtDSDJdW05IXWMoW2NIXTUpW25IXWMoYzU2KVtjSF1bY0hdW2NIXVtjSF02,PR_Auto_Grid,S-OPLS,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/244/244_14.smi:1-6,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/244/244_14.smi,,
L_PPS_to_R_PR,PPS,PR,L_PPS_to_R_PR__251_62-4,4,251_62-4,PPS,251,off,1,1,1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/251/251_62.smi:1,O=C(CO)N[C@@H]1CCc2cccc(NC(=O)N[C@@H]3CC[N@H+](Cc4ccc(CN5C=C[C@@H](NC(=O)c6ccc7c(c6)CC[NH2+]C7)CC5)cc4)C3)c2C1,2,2,102,1,258,15,66139,1,0,1,0.0214752,0.0215456,0.0214752,7.04161e-05,0.0,-8.40563,-16.2591,0.0,11.9342,-108.072,-74.3933,0.45021,-0.0465303,-58.1342,-8.40563,-0.456,-0.164816,-1.70437,-0.61121,-2.55042,0,-0.45732,83.6981,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W09IXVtDSDJdQyg9TylbTkhdW0NAQEhdKFtDSDJdW0NIMl0xKVtDSDJdYyhjMTIpYyhbY0hdW2NIXVtjSF0yKVtOSF1DKD1PKVtOSF1bQ0BIXTNbQ0gyXVtDSDJdTihbQ0gyXTMpW0NIMl1jNFtjSF1bY0hdYyhbY0hdW2NIXTQpW0NIMl1ONVtDSF09W0NIXVtDQEhdKFtDSDJdW0NIMl01KVtOSF1DKD1PKWMoW2NIXVtjSF02KVtjSF1jKGM2NylbQ0gyXVtDSDJdW05IXVtDSDJdNw==,PR_Auto_Grid,S-OPLS,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/251/251_62.smi:1-4,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/251/251_62.smi,1.0,This compound has an imine and may undergo hydrolysis.
L_PPS_to_R_PR,PPS,PR,L_PPS_to_R_PR__237_40-1,5,237_40-1,PPS,237,off,1,1,1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/237/237_40.smi:1,NC(=O)c1cccc(C(=O)NCC(=O)NCC(=O)N2CCC([N@H+]3CCCN(Cc4ccc(C[N@@H+]5CCc6cc(C[NH3+])ccc6C5)cc4)C3)CC2)c1,3,3,339,1,2,15,66139,1,0,1,0.115251,0.115252,0.115251,1.28852e-06,0.0,-8.97312,-18.0802,0.0,11.6692,-101.444,-70.6012,0.397843,-0.142188,-52.5211,-8.97312,-0.361143,-0.175943,-1.81943,-0.652474,-3.29956,0,-0.229987,84.1394,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1bQ0gyXWMoW2NIXVtjSF0xKVtjSF1jKGMxMilbQ0gyXVtDSDJdTihbQ0gyXTIpW0NIMl1jM1tjSF1bY0hdYyhbY0hdW2NIXTMpW0NIMl1ONFtDSDJdW0NIMl1bQ0gyXU4oW0NIMl00KVtDSF01W0NIMl1bQ0gyXU4oW0NIMl1bQ0gyXTUpQyg9TylbQ0gyXVtOSF1DKD1PKVtDSDJdW05IXUMoPU8pYzZbY0hdW2NIXVtjSF1jKFtjSF02KUMoPU8pW05IMl0=,PR_Auto_Grid,S-OPLS,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/237/237_40.smi:1-1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/237/237_40.smi,1.0,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde."
L_PPS_to_R_PR,PPS,PR,L_PPS_to_R_PR__247_46-7,6,247_46-7,PPS,247,off,1,1,1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/247/247_46.smi:1,NC(=O)c1ccc(C[C@H]([NH3+])C(=O)NC[C@@H]2CC[N@@H+](Cc3ccc(C[NH+]4CCN(C(=O)c5cc(O)cc(C(F)(F)F)c5)CC4)cc3)C2)cc1,3,3,192,1,375,15,66139,1,0,1,0.754682,0.459755,0.408529,0.0512252,0.346153,-7.37552,-24.5702,0.346153,8.92324,-96.2264,-65.9787,0.408921,-0.12945,-41.4085,-7.72167,-0.612441,-0.153657,-1.51411,-0.558425,-1.69327,0,0.0605299,70.7561,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbQ0gyXVtDQEhdKFtOSDJdKUMoPU8pW05IXVtDSDJdW0NASF0yW0NIMl1bQ0gyXU4oW0NIMl0yKVtDSDJdYzNbY0hdW2NIXWMoW2NIXVtjSF0zKVtDSDJdTjRbQ0gyXVtDSDJdTihbQ0gyXVtDSDJdNClDKD1PKWM1W2NIXWMoW09IXSlbY0hdYyhDKEYpKEYpRilbY0hdNQ==,PR_Auto_Grid,S-OPLS,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/247/247_46.smi:1-7,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/247/247_46.smi,1.0,
L_PPS_to_R_PR,PPS,PR,L_PPS_to_R_PR__195_36-4,7,195_36-4,PPS,195,off,1,1,1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/195/195_36.smi:1,NC(=O)C[N@@H+]1CC[C@H](c2ccc(CNC(=O)Nc3cccc(C[NH+]4CCN(C(=O)Cc5ccc(C(N)=O)cc5)CC4)c3)c(F)c2)C1,2,2,356,1,176,14,66139,1,0,1,0.198723,0.0994264,0.0993617,6.47573e-05,0.0993617,-7.88514,-13.4426,0.0993617,4.87176,-95.2212,-62.2613,0.496349,-0.0681358,-48.8188,-7.98451,-0.456,-0.171416,-1.63299,-0.614192,-2.27008,0,-1.22931,59.0002,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKVtDSDJdTjFbQ0gyXVtDSDJdW0NASF0oW0NIMl0xKWMyW2NIXVtjSF1jKGMoRilbY0hdMilbQ0gyXVtOSF1DKD1PKVtOSF1jM1tjSF1bY0hdW2NIXWMoW2NIXTMpW0NIMl1ONFtDSDJdW0NIMl1OKFtDSDJdW0NIMl00KUMoPU8pW0NIMl1jNVtjSF1bY0hdYyhDKD1PKVtOSDJdKVtjSF1bY0hdNQ==,PR_Auto_Grid,S-OPLS,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/195/195_36.smi:1-4,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/195/195_36.smi,,
L_PPS_to_R_PR,PPS,PR,L_PPS_to_R_PR__235_46-4,8,235_46-4,PPS,235,off,1,1,1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/235/235_46.smi:1,NC(=O)c1ccc(CC[C@H]2CC[C@@H](C(=O)NCC(=O)NC[C@H]3CC[N@H+](Cc4cccc(CNC(=O)c5ccc6ccc(C[NH3+])cc6c5)c4)C3)CC2)cc1,2,2,52,1,9,18,66139,1,0,1,0.0446732,0.0446738,0.0446732,5.29208e-07,0.0,-7.34036,-11.4541,0.0,8.07181,-91.3884,-64.9527,0.483612,-0.12633,-53.4985,-7.34036,-0.121365,-0.138497,-1.47685,-0.520235,-3.0898,0,-0.0934247,61.9996,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1bQ0gyXWMoW2NIXVtjSF0xKVtjSF1jKGMxMilbY0hdYyhbY0hdW2NIXTIpQyg9TylbTkhdW0NIMl1jM1tjSF1bY0hdW2NIXWMoW2NIXTMpW0NIMl1ONFtDSDJdW0NIMl1bQ0BIXShbQ0gyXTQpW0NIMl1bTkhdQyg9TylbQ0gyXVtOSF1DKD1PKVtDQEhdNVtDSDJdW0NIMl1bQ0BIXShbQ0gyXVtDSDJdNSlbQ0gyXVtDSDJdYzZbY0hdW2NIXWMoQyg9TylbTkgyXSlbY0hdW2NIXTY=,PR_Auto_Grid,S-OPLS,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/235/235_46.smi:1-4,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/235/235_46.smi,1.0,
L_PPS_to_R_PR,PPS,PR,L_PPS_to_R_PR__198_56-5,9,198_56-5,PPS,198,off,1,1,1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/198/198_56.smi:1,NC(=O)c1ccc(CC(=O)N2CCC[N@@H+](Cc3ccc(C[N@H+]4CCC[C@H](CNC(=O)Nc5ccccc5C(N)=O)CC4)cc3)CC2)cc1,2,2,79,1,47,14,66139,1,0,1,0.206504,0.107402,0.107363,3.85759e-05,0.0991412,-8.0718,-12.7194,0.0991412,3.79447,-101.636,-68.8289,0.439067,-0.0472203,-56.1095,-8.17094,-0.781872,-0.168163,-1.65705,-0.611143,-2.28324,0,-0.784296,87.5126,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbQ0gyXUMoPU8pTjJbQ0gyXVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0yKVtDSDJdYzNbY0hdW2NIXWMoW2NIXVtjSF0zKVtDSDJdTjRbQ0gyXVtDSDJdW0NIMl1bQ0BIXShbQ0gyXVtDSDJdNClbQ0gyXVtOSF1DKD1PKVtOSF1jNVtjSF1bY0hdW2NIXVtjSF1jNUMoPU8pW05IMl0=,PR_Auto_Grid,S-OPLS,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/198/198_56.smi:1-5,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/198/198_56.smi,,
L_PPS_to_R_PR,PPS,PR,L_PPS_to_R_PR__318_5-1,10,318_5-1,PPS,318,off,1,1,1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/318/318_5.smi:1,NC(=O)c1ccc(CNC(=O)c2ccc(C(=O)N3CC[NH+](Cc4ccc(CNC(=O)c5ccc6ncncc6c5)cc4)CC3)nn2)cc1,1,1,73,1,194,13,66139,1,0,1,0.689605,0.344838,0.344803,3.56947e-05,0.344803,-9.6209,-11.1171,0.344803,9.85286,-124.981,-78.529,0.413645,-0.00739415,-67.412,-9.96571,-0.32,-0.200435,-1.97506,-0.728431,-3.59589,0,-1.41791,82.1961,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbQ0gyXVtOSF1DKD1PKWMyW2NIXVtjSF1jKG5uMilDKD1PKU4zW0NIMl1bQ0gyXU4oW0NIMl1bQ0gyXTMpW0NIMl1jNFtjSF1bY0hdYyhbY0hdW2NIXTQpW0NIMl1bTkhdQyg9TyljKFtjSF1bY0hdNSlbY0hdYyhjNTYpW2NIXW5bY0hdbjY=,PR_Auto_Grid,S-OPLS,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/318/318_5.smi:1-1,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/318/318_5.smi,1.0,"This compound contains an electron-poor aromatic ring that is susceptible to covalent hydrolysis at low pH, typically resulting in measured values for nitrogen ring protonation that are around two units higher than predicted values."
